sloka	pada	english	verb_part
4.38.4	गच्छावः	we both may go	[('go', 'VB')]
3.75.9	गच्छावः	we both will go.	[('go.', 'VB')]
1.62.22	गच्छावहे	we shall both go	[('go', 'VB')]
3.64.21	गच्छावहे	both will go	[('go', 'VB')]
5.37.62	गच्छेत यदि	and if he goes	[('goes', 'VBZ')]
4.33.52	गच्छेत्	he may lead.	[('lead.', 'VB')]
2.52.61	गच्छेत्	will have.	[('have.', 'VB')]
5.1.39	गच्छेत्	goes	[('goes', 'VBZ')]
1.60.7	गच्छेत्	may attain	[('attain', 'VB')]
2.21.2	गच्छेत्	(इति) यत् should go	[('go', 'VB')]
2.52.41	गच्छेत् हि	as will become.	[('become.', 'VB')]
3.63.13	गच्छेदपि	has she gone	[('has', 'VBZ'), ('gone', 'VBN')]
3.67.3	गच्छेयम्	may I reach	[('reach', 'VB')]
1.57.11	गच्छेयम्	will obtain	[('obtain', 'VB')]
4.67.29	गच्छेयम्	I can go	[('go', 'VB')]
1.42.19	गच्छेयुः	may go.	[('go.', 'VB')]
2.63.22	गजं वा	or elephant	[('elephant', 'VB')]
2.64.17	गजजिघांसुना	intending to kill an elephant	[('intending', 'VBG'), ('kill', 'VB')]
5.27.9	गजदन्तमयीम्	made of ivory	[('made', 'VBN')]
2.63.25	गजप्रेप्सुः	wishing to get the elephant	[('wishing', 'VBG'), ('get', 'VB')]
4.1.129	गजमन्दगामी	walking gracefully like an elephant	[('walking', 'VBG')]
2.43.6	गजराजगतिः	having the gait of the king of the elephants	[('having', 'VBG')]
2.54.39	गजराजनिषेवितः	frequented by mighty tuskers	[('frequented', 'VBN')]
2.92.13	गजवाजिरथाकीर्णाम्	consisting of elephants	[('consisting', 'VBG')]
2.92.37	गजवाजिरथाकुला	teeming with elephants	[('teeming', 'VBG')]
3.17.7	गजविक्रान्तगमनम्	who walked with the gait of an elephant	[('walked', 'VBD')]
1.50.17	गजसिंहगती	having the gait of elephant or lion	[('having', 'VBG')]
1.48.2	गजसिंहगती	possessed of the gait of elephant or a lion	[('possessed', 'VBN')]
1.18.26	गजस्कन्धे	on mounting elephants	[('mounting', 'VBG')]
3.2.7	गजस्य शिरः	elephant's head	[('head', 'VBP')]
2.89.19	गजारोहप्रचोदिताः	goaded by their mahouts	[('goaded', 'VBN')]
2.115.11	गजाश्वरथसङ्कुलम्	crowded with elephants	[('crowded', 'VBN')]
5.6.5	गजास्थितैः	mounted on elephants	[('mounted', 'VBN')]
5.9.48	गजेन्द्रमृदिताः	crushed by mighty elephants	[('crushed', 'VBN')]
5.29.4	गजेन्द्रहस्तप्रतिमः	resembling an elephant's trunk	[('resembling', 'VBG')]
1.13.6	गणकान्	men adept in calculations	[('adept', 'VBP')]
5.58.80	गणयामास	not cared	[('cared', 'VBN')]
2.51.21	गणिकावरशोभिताम्	graced with the fairest of courtesans	[('graced', 'VBN')]
3.47.10	गण्यते	is counted.	[('is', 'VBZ')]
2.62.18	गण्यते	has been counted	[('has', 'VBZ'), ('been', 'VBN'), ('counted', 'VBN')]
3.44.7	गतः	transformed	[('transformed', 'VBN')]
3.42.27	गतः	transformed	[('transformed', 'VBN')]
2.35.1	गतः	turned	[('turned', 'VBD')]
5.22.15	गतः	gone	[('gone', 'VBN')]
2.75.50	गतः	was exiled	[('was', 'VBD'), ('exiled', 'VBN')]
1.30.4	गतः	has entered	[('has', 'VBZ'), ('entered', 'VBN')]
3.53.22	गतः	go	[('go', 'VB')]
2.74.9	गतः	had gone	[('had', 'VBD'), ('gone', 'VBN')]
2.75.51	गतः	exiled	[('exiled', 'VBN')]
5.67.36	गतः	having gone	[('having', 'VBG'), ('gone', 'VBN')]
2.8.6	गतः	has taken refuge	[('has', 'VBZ'), ('taken', 'VBN')]
2.78.4	गतः	having come under	[('having', 'VBG'), ('come', 'VBN')]
4.34.18	गतः	gone	[('gone', 'VBN')]
2.72.40	गतः	has gone?	[('has', 'VBZ')]
3.43.44	गतः	gone	[('gone', 'VBN')]
1.55.18	गतः	returned (to bis abode).	[('returned', 'VBN')]
1.12.21	गतः	entered sacrificial pavilion.	[('entered', 'VBN')]
2.75.35	गतः	exiled	[('exiled', 'VBN')]
2.75.58	गतः	exiled	[('exiled', 'VBN')]
2.47.6	गतः	could he go?	[('go?', 'VB')]
2.63.51	गतः	having reached	[('having', 'VBG'), ('reached', 'VBN')]
1.58.15	गतः	you have obtained.	[('have', 'VBP'), ('obtained.', 'VBN')]
5.2.46	गतः	assuming	[('assuming', 'VBG')]
2.75.55	गतः	exiled	[('exiled', 'VBN')]
1.34.14	गतः	has passed by	[('has', 'VBZ'), ('passed', 'VBN')]
3.66.7	गतः	attached	[('attached', 'VBN')]
2.52.61	गतः	had gone	[('had', 'VBD'), ('gone', 'VBN')]
2.105.29	गतः	taken	[('taken', 'VBN')]
2.75.56	गतः	exiled	[('exiled', 'VBN')]
2.73.7	गतः	has gone.	[('has', 'VBZ')]
2.55.9	गतः	gone	[('gone', 'VBN')]
2.47.5	गतः	has gone.	[('has', 'VBZ')]
2.8.29	गतः	has gone	[('has', 'VBZ'), ('gone', 'VBN')]
2.75.57	गतः	exiled	[('exiled', 'VBN')]
1.58.16	गतः	obtained	[('obtained', 'VBN')]
2.115.3	गतः	has gone	[('has', 'VBZ'), ('gone', 'VBN')]
2.77.14	गतः	have you gone?	[('have', 'VB'), ('gone?', 'VB')]
5.21.34	गतः	going	[('going', 'VBG')]
2.75.54	गतः	exiled	[('exiled', 'VBN')]
2.21.35	गतः	followed by them	[('followed', 'VBN')]
2.116.8	गतः	attained	[('attained', 'VBN')]
2.34.61	गतः	turned	[('turned', 'VBD')]
2.75.53	गतः	exiled	[('exiled', 'VBN')]
2.75.52	गतः	exiled	[('exiled', 'VBN')]
2.109.29	गतः	went	[('went', 'VBD')]
2.92.24	गतः	attained	[('attained', 'VBN')]
2.75.34	गतः	exiled	[('exiled', 'VBN')]
1.77.3	गतः	had gone	[('had', 'VBD'), ('gone', 'VBN')]
2.75.43	गतः	exiled	[('exiled', 'VBN')]
2.75.24	गतः	was exiled	[('was', 'VBD'), ('exiled', 'VBN')]
2.75.31	गतः	was exiled	[('was', 'VBD'), ('exiled', 'VBN')]
2.75.25	गतः	exiled	[('exiled', 'VBN')]
2.75.30	गतः	was exiled	[('was', 'VBD'), ('exiled', 'VBN')]
2.66.4	गतः	has gone	[('has', 'VBZ'), ('gone', 'VBN')]
4.59.18	गतः	went	[('went', 'VBD')]
2.75.29	गतः	exiled	[('exiled', 'VBN')]
2.75.48	गतः	exiled	[('exiled', 'VBN')]
1.59.21	गतः	attaining	[('attaining', 'VBG')]
2.75.47	गतः	exiled	[('exiled', 'VBN')]
2.75.28	गतः	exiled	[('exiled', 'VBN')]
2.75.27	गतः	exiled	[('exiled', 'VBN')]
2.75.36	गतः	exiled	[('exiled', 'VBN')]
1.42.10	गतः	had gone.	[('had', 'VBD')]
2.76.3	गतः	regained	[('regained', 'VBN')]
2.75.46	गतः	exiled	[('exiled', 'VBN')]
5.38.72	गतः	went	[('went', 'VBD')]
2.66.30	गतः	has gone.	[('has', 'VBZ')]
2.75.26	गतः	exiled	[('exiled', 'VBN')]
2.75.49	गतः	exiled	[('exiled', 'VBN')]
5.40.24	गतः	after going	[('going', 'VBG')]
2.75.42	गतः	exiled	[('exiled', 'VBN')]
2.75.44	गतः	exiled	[('exiled', 'VBN')]
3.9.15	गतः	you are gone	[('are', 'VBP'), ('gone', 'VBN')]
2.66.26	गतः	gone	[('gone', 'VBN')]
2.108.12	गतः	had gone	[('had', 'VBD'), ('gone', 'VBN')]
2.75.33	गतः	was exiled	[('was', 'VBD'), ('exiled', 'VBN')]
2.75.21	गतः	banished	[('banished', 'VBN')]
2.75.22	गतः	exiled	[('exiled', 'VBN')]
2.75.32	गतः	exiled	[('exiled', 'VBN')]
2.75.23	गतः	was exiled	[('was', 'VBD'), ('exiled', 'VBN')]
2.75.39	गतः	exiled	[('exiled', 'VBN')]
2.75.38	गतः	exiled	[('exiled', 'VBN')]
2.66.8	गतः	obtained	[('obtained', 'VBN')]
2.75.41	गतः	exiled	[('exiled', 'VBN')]
5.3.51	गतः	gone	[('gone', 'VBN')]
2.75.40	गतः	exiled	[('exiled', 'VBN')]
2.64.76	गतः असि	have you gone?.	[('have', 'VB'), ('gone?.', 'VB')]
4.66.18	गतः अस्मि	I united with you	[('united', 'VBD')]
1.77.5	गतः इति	had departed	[('had', 'VBD'), ('departed', 'VBN')]
2.98.17	गतः इव	having reached	[('having', 'VBG'), ('reached', 'VBN')]
2.58.27	गतः भविष्यति	must have gone	[('have', 'VB'), ('gone', 'VBN')]
2.66.20	गतः हि	has gone indeed.	[('has', 'VBZ'), ('gone', 'VBN')]
1.14.44	गतकल्मषम्	purged of all sins	[('purged', 'VBN')]
1.43.27	गतकल्मषाः बभूवुः	were absolved  of their sins.	[('were', 'VBD'), ('absolved', 'VBN')]
2.95.18	गतक्लमः	with fatigue gone	[('gone', 'VBN')]
2.2.14	गतक्लेशः	relieved of my anxieties	[('relieved', 'VBN')]
2.65.25	गतचेतनाः	having lost senses	[('having', 'VBG'), ('lost', 'VBN')]
2.76.14	गतचेतसम्	deceased	[('deceased', 'VBN')]
3.48.16	गतचेतसा	lost the capacity to think	[('lost', 'VBN'), ('think', 'VB')]
3.70.2	गतचेतसौ	with the senses lost	[('lost', 'VBD')]
2.36.12	गतजनम्	abandoned by men	[('abandoned', 'VBN')]
2.37.28	गतजनाम्	deserted by men	[('deserted', 'VBN')]
2.18.23	गतजले	at a place where the water has drained	[('has', 'VBZ'), ('drained', 'VBN')]
1.15.33	गतज्वरः	purged of distress	[('purged', 'VBN')]
2.41.12	गततेजसः	diminished  their brilliance	[('diminished', 'VBN')]
1.29.25	गतनीहारः	cleared of mist	[('cleared', 'VBN')]
2.66.28	गतप्रभा	having lost the brightness	[('having', 'VBG'), ('lost', 'VBN')]
2.64.16	गतप्राणम्	with ebbing life	[('ebbing', 'VBG')]
4.66.31	गतप्राणाः	almost lost our life	[('lost', 'VBN')]
3.61.29	गतबुद्धिः	intellect atrophied	[('atrophied', 'VBD')]
3.13.15	गतभूयिष्ठः	has been mostly spent	[('has', 'VBZ'), ('been', 'VBN')]
2.64.27	गतम्	gone	[('gone', 'VBN')]
2.52.61	गतम्	gone	[('gone', 'VBN')]
1.36.7	गतम्	was over	[('was', 'VBD')]
5.8.2	गतम्	going	[('going', 'VBG')]
5.12.7	गतम्	when I reach	[('reach', 'VBP')]
3.55.27	गतम्	gone	[('gone', 'VBN')]
5.30.14	गतम्	gone	[('gone', 'VBN')]
4.63.3	गतम्	have passed	[('have', 'VBP'), ('passed', 'VBN')]
4.54.21	गतम्	when you go	[('go', 'VBP')]
3.69.38	गतम्	gone	[('gone', 'VBN')]
5.13.28	गतम्	gone	[('gone', 'VBN')]
5.12.9	गतम्	on going	[('going', 'VBG')]
3.60.31	गतम्	is rendered.	[('is', 'VBZ')]
2.52.100	गतम्	reached	[('reached', 'VBN')]
5.15.25	गतया	by touching	[('touching', 'VBG')]
5.21.30	गतयोः	when they went	[('went', 'VBD')]
2.114.8	गतरवाम्	sounds ceased	[('ceased', 'VBD')]
2.24.33	गतव्यथा	relieved of suffering	[('relieved', 'VBN'), ('suffering', 'VBG')]
1.56.21	गतव्यथाः सन्तु	be delivered from distress.	[('be', 'VB'), ('delivered', 'VBN')]
5.48.4	गतश्रमः	not experienced fatigue	[('experienced', 'VBN')]
5.20.26	गतश्रीः	he lost his fortune	[('lost', 'VBD')]
3.56.12	गतश्रीकः	deprived of your fortune	[('deprived', 'VBN')]
3.56.12	गतसत्त्व	your strength sapped	[('sapped', 'VBD')]
3.4.22	गतसत्त्वाम्	who are dead	[('are', 'VBP')]
2.59.38	गतसत्त्वेव	like one who has his senses lost	[('has', 'VBZ'), ('lost', 'VBD')]
3.43.47	गतस्पृहाम्	desire is fixed	[('is', 'VBZ'), ('fixed', 'VBN')]
2.37.17	गतस्य	after you have left	[('have', 'VBP'), ('left', 'VBN')]
3.11.65	गतस्य	one who has gone	[('has', 'VBZ'), ('gone', 'VBN')]
2.105.21	गतस्य च	or moving	[('moving', 'VBG')]
4.47.14	गता	is taken	[('is', 'VBZ'), ('taken', 'VBN')]
3.60.35	गता	you are gone	[('are', 'VBP'), ('gone', 'VBN')]
2.14.53	गता	passed	[('passed', 'VBN')]
3.61.3	गता	gone	[('gone', 'VBN')]
2.52.2	गता	is over	[('is', 'VBZ')]
5.26.51	गता	reached	[('reached', 'VBN')]
1.45.5	गता	has passed	[('has', 'VBZ'), ('passed', 'VBN')]
5.59.35	गता	has become.	[('has', 'VBZ')]
2.20.53	गता	would have reached.	[('have', 'VB')]
1.34.8	गता	had gone	[('had', 'VBD'), ('gone', 'VBN')]
2.114.28	गता	had left	[('had', 'VBD'), ('left', 'VBN')]
3.60.9	गता	gone	[('gone', 'VBN')]
3.63.16	गता	gone	[('gone', 'VBN')]
2.15.23	गता	has passed	[('has', 'VBZ'), ('passed', 'VBN')]
2.92.3	गता कच्चित्	hope you spent	[('spent', 'VBD')]
4.57.26	गता नामपि	even if we go	[('go', 'VBP')]
3.64.12	गता नु	has she gone?	[('has', 'VBZ'), ('gone?', 'VBD')]
5.37.61	गता यत्	that I had to experience	[('had', 'VBD'), ('experience', 'VB')]
4.42.19	गतां	on reaching	[('reaching', 'VBG')]
5.35.57	गताः	passed	[('passed', 'VBN')]
4.57.10	गताः	attained	[('attained', 'VBN')]
1.63.11	गताः	have passed by	[('have', 'VB'), ('passed', 'VBN')]
4.43.56	गताः	gone	[('gone', 'VBN')]
4.41.19	गताः	you reach	[('reach', 'VBP')]
4.47.6	गताः	gone	[('gone', 'VBN')]
1.45.42	गताः	had gone	[('had', 'VBD'), ('gone', 'VBN')]
4.66.15	गतात्मा	lost his self	[('lost', 'VBN')]
3.73.25	गतानाम्	who had gone	[('had', 'VBD'), ('gone', 'VBN')]
4.53.27	गतान्	when we reach	[('reach', 'VBP')]
2.46.4	गतान्	having gone ( to the forest)	[('having', 'VBG'), ('gone', 'VBN')]
3.52.41	गताम्	experiencing	[('experiencing', 'VBG')]
1.43.17	गताम्	reached	[('reached', 'VBN')]
5.15.39	गताम्	interpreted thus	[('interpreted', 'VBN')]
2.9.63	गताम्	had gone	[('had', 'VBD'), ('gone', 'VBN')]
2.114.5	गताम्	obtained	[('obtained', 'VBN')]
2.114.11	गताम्	reached	[('reached', 'VBN')]
4.1.67	गताम्	a lost lady	[('lost', 'VBN')]
5.42.3	गतायाम्	was awakened	[('was', 'VBD'), ('awakened', 'VBN')]
3.69.19	गतायाम्	went away	[('went', 'VBD')]
3.56.12	गतायुः	life is gone	[('is', 'VBZ'), ('gone', 'VBN')]
2.1.20	गतायुषः	of a man whose life is almost over	[('is', 'VBZ')]
5.62.34	गतायुषः	doomed	[('doomed', 'VBN')]
4.53.3	गतायुषः	lost our lives	[('lost', 'VBN')]
5.24.26	गतायुषा	whose life span is to end soon	[('is', 'VBZ'), ('end', 'VB')]
2.53.28	गतार्चिषम्	with extinguished flames	[('extinguished', 'VBN')]
1.10.23	गतासु	(सतीषु ) having departed	[('having', 'VBG'), ('departed', 'VBN')]
5.32.8	गतासुकल्पेव	as if she was almost dead	[('was', 'VBD')]
3.68.19	गतासुम्	with his life gone	[('gone', 'VBN')]
3.2.24	गतासोः	of one who loses life	[('loses', 'VBZ')]
4.37.15	गतिं ज्ञात्वा	knowing their movements	[('knowing', 'VBG')]
5.58.34	गतिः	one that approached	[('approached', 'VBD')]
2.64.10	गतिः	are support	[('are', 'VBP')]
5.68.19	गतिः	can go	[('go', 'VB')]
2.40.6	गतिः	is refuge	[('is', 'VBZ')]
2.21.59	गतिः	is refuge	[('is', 'VBZ')]
5.63.19	गतिः	will be done	[('be', 'VB'), ('done', 'VBN')]
2.102.21	गतिः	procession in mourning	[('mourning', 'VBG')]
2.27.5	गतिः	is the ultimate refuge.	[('is', 'VBZ')]
2.78.15	गतिः अस्तु	is only saviour.	[('is', 'VBZ')]
2.35.29	गतिः भव	be refuge.	[('be', 'VB')]
5.2.30	गतिः हि	can come here.	[('come', 'VB')]
2.72.33	गतिः हि	is a refuge indeed.	[('is', 'VBZ')]
4.37.15	गतिज्ञाः	those who know the locations	[('know', 'VBP')]
2.72.36	गतिमताम्	among those who attained the excellent state	[('attained', 'VBD')]
1.35.23	गतिमताम्	among those having marvellous gait	[('having', 'VBG')]
4.41.46	गतिमताम्	for those who advance	[('advance', 'VBP')]
1.57.11	गतिम्	obtaining heaven	[('obtaining', 'VBG')]
4.44.3	गतिसङ्गम्	who can equal your movement	[('equal', 'VB')]
5.13.30	गते	having gone	[('having', 'VBG'), ('gone', 'VBN')]
2.9.47	गते	having gone	[('having', 'VBG'), ('gone', 'VBN')]
5.23.2	गते	gone	[('gone', 'VBN')]
2.45.10	गते	had left	[('had', 'VBD'), ('left', 'VBN')]
1.63.9	गते	was spent	[('was', 'VBD'), ('spent', 'VBN')]
2.9.63	गते	had gone	[('had', 'VBD'), ('gone', 'VBN')]
1.2.3	गते	having gone	[('having', 'VBG'), ('gone', 'VBN')]
2.102.12	गते	having gone to	[('having', 'VBG'), ('gone', 'VBN')]
2.114.25	गते	having departed	[('having', 'VBG'), ('departed', 'VBN')]
5.68.5	गते	gone	[('gone', 'VBN')]
5.39.22	गते	when you go	[('go', 'VBP')]
1.30.7	गते	had lapsed	[('had', 'VBD'), ('lapsed', 'VBN')]
2.5.26	गते	(सति) having gone	[('having', 'VBG'), ('gone', 'VBN')]
5.30.9	गते	I go	[('go', 'VBP')]
2.87.10	गते	had gone	[('had', 'VBD'), ('gone', 'VBN')]
