YAJURVED	मन्त्रसंख्या				
533	12.20	12	20	533	समुद्रे त्वा नृमणाऽअप्स्वन्तर्नृचक्षाऽईधे दिवो अग्नऽऊधन्। तृतीये त्वा रजसि तस्थिवासमपामुपस्थे महिषाऽअवर्धन् ॥२० ॥
534	12.21	12	21	534	अक्रन्ददग्नि स्तनयन्निव द्यौः क्षामा रेरिहद् वीरुधः समञ्जन्। सद्यो जज्ञानो वि हीमिद्धोऽअख्यदा रोदसी भानुना भात्यन्तः ॥२१ ॥
535	12.22	12	22	535	श्रीणामुदारो धरुणो रयीणां मनीषाणां प्रार्पणः सोमगोपाः। वसुः सूनुः सहसोऽअप्सु राजा विभात्यग्रऽउषसामिधानः ॥२२ ॥
536	12.23	12	23	536	विश्वस्य केतुर्भुवनस्य गर्भऽआ रोदसीऽअपृणाज्जायमानः। वीडुं चिदद्रिमभिनत् परायञ्जना यदग्निमयजन्त पञ्च ॥२३ ॥
537	12.24	12	24	537	उशिक् पावको अरतिः सुमेधा मर्त्येष्वग्निरमृतो नि धायि। इयर्त्ति धूममरुषं भरिभ्रदुच्छुक्रेण शोचिषा द्यामिनक्षन् ॥२४ ॥
538	12.25	12	25	538	दृशानो रुक्मऽउर्व्या व्यद्यौद् दुर्मर्षमायुः श्रिये रुचानः। अग्निरमृतोऽअभवद् वयोभिर्यदेनं द्यौरजनयत् सुरेताः ॥२५ ॥
539	12.26	12	26	539	यस्तेऽअद्य कृणवद् भद्रशोचेऽपूपं देव घृतवन्तमग्ने। प्र तं नय प्रतरं वस्योऽअच्छाभि सुम्नं देवभक्तं यविष्ठ ॥२६ ॥
540	12.27	12	27	540	आ तं भज सौश्रवसेष्वग्नऽउक्थऽउक्थऽआभज शस्यमाने। प्रियः सूर्ये प्रियोऽअग्ना भवात्युज्जातेन भिनददुज्जनित्वैः ॥२७ ॥
541	12.28	12	28	541	त्वामग्ने यजमानाऽअनु द्यून् विश्वा वसु दधिरे वार्याणि। त्वया सह द्रविणमिच्छमाना व्रजं गोमन्तमुशिजो विवव्रुः ॥२८ ॥
542	12.29	12	29	542	अस्ताव्यग्निर्नराꣳ सुशेवो वैश्वानरऽऋषिभिः सोमगोपाः। अद्वेषे द्यावापृथिवी हुवेम देवा धत्त रयिमस्मे सुवीरम् ॥२९ ॥
543	12.30	12	30	543	समिधाग्निं दुवस्यत घृतैर्बोधयतातिथिम्। आस्मिन् हव्या जुहोतन ॥३० ॥
544	12.31	12	31	544	उदु त्वा विश्वे देवाऽअग्ने भरन्तु चित्तिभिः। स नो भव शिवस्त्वꣳ सुप्रतीको विभावसुः ॥३१ ॥
545	12.32	12	32	545	प्रेदग्ने ज्योतिष्मान् याहि शिवेभिरर्चिभिष्ट्वम्। बृहद्भिर्भानुभिर्भासन् मा हिꣳसीस्तन्वा प्रजाः ॥३२ ॥
546	12.33	12	33	546	अक्रन्ददग्नि स्तनयन्निव द्यौः क्षामा रेरिहद् वीरुधः समञ्जन्। सद्यो जज्ञानो वि हीमिद्धोऽअख्यदा रोदसी भानुना भात्यन्तः ॥३३ ॥
